product_name;product_rating;product_reviews;auction_price;original_price;offer_type;product_description
"Cameronbridge 2006
14 Yeaar Old Berry Bros & Rudd";None;None;['68.95'];['98.50'];None;A 2006 Cameronbridge single grain whisky from independent bottler Berry Bros & Rudd, matured in a single cask for 14 years before being bottled in 2021.
"Irish Single Malt 1991
22 Year Old Nectar Of The Daily Drams";None;None;[];['714.29'];FREE UK Mainl;
"Ardbeg 12 Year Old
Bot.1970s Cadenhead's";None;None;[];[];FREE UK Mainl;
"Springbank 1977 DOWTS
Bot.1996";None;None;[];[];FREE UK Mainl;
Seven Seals The Age of Scorpio;None;['1'];['69.95'];['139.90'];None;A limited-edition Swiss single malt from Seven Seals, released as part of its Zodiac series, Age of Scorpio is a fruity, nutty whisky with aromas of vanilla cream, toasted hazelnuts and dried fruit that fill the nose. The palate offers notes of sweet malt, oak spice, caramelised pecans, toasted almonds, vanilla, poached pears and cinnamon baked apples that linger in the finish.
West Cork Bog Oak Charred Cask;None;None;['35.95'];['51.36'];None;A triple distilled single malt Irish whiskey from West Cork Distillers, initially matured in ex-sherry casks and finished in charred bog oak casks. These casks are made using oak sourced from the local boglands of Glengarriff. Aromas of warm spice, leather and dried fruit fill the nose, complimented by notes of malt, cracked black pepper and baking spices throughout the palate.
"Springbank 1975
The Merchant's Collection";None;None;[];['428.57'];FREE UK Mainl;
"Strathisla 15 Year Old
Bot.1970s 100 Proof Gordon & MacPhail";None;None;[];['666.67'];FREE UK Mainl;
"Caol Ila 1968
50 Year Old Private Collection No.2 Gordon & MacPhail";None;None;[];['714.29'];FREE UK Mainl;"The oldest Caol Ila ever bottled, a 50-year-old sherry-matured single malt released as part of Gordon & Macphail's Private Collection. Distilled in 1968 and only released from its single cask in 2018, this single malt leads with warming spice, followed by fruity flavours and gentle sherry. The finish is lingering, combining bonfire embers with lemon zest.


Only 199 decanters of this exceptional whisky are available worldwide."
"Longmorn 1975
33 Year Old Cask #3958 Mackillop's";None;None;[];['071.43'];FREE UK Mainl;
"Inchmurrin 1966
Bot.1980s";None;None;[];['333.33'];FREE UK Mainl;
"MacNair's 12 Year Old
Lum Reek Miniature";None;None;['6.45'];['12.90'];None;A miniature of small-batch blended malt whisky from indie bottler MacNair's, Lum Reek 12 Year Old is a peated blend that has been matured in a combination of red wine, Pedro Ximenez and ex-bourbon casks. Sweet peat smoke rolls off the nose in waves, accompanied by butterscotch and bittersweet mocha. The palate offers notes of heather, bog myrtle, butterscotch, toffee and sweet spices, wrapped in peat smoke.
"Springbank 1975
28 Year Old Chieftain's";None;None;[];['428.57'];FREE UK Mainl;
"Pride of Strathspey 1938
Bot.1970s";None;None;[];[];FREE UK Mainl;Bottled in the 1970s, this whisky is most likely to be Macallan. One of the most special whiskies we have ever tasted, perfect sherry, very long and lingering. All you would expect from old Macallan.
"Glenfarclas 15 Year Old
Bot.1970s For Visitors";None;None;[];['933.33'];FREE UK Mainl;
"Glann Ar Mor 2010
Version Francaise";None;None;[];['178.57'];FREE UK Mainl;A savoury, nutty 2010 Glann Ar Mor French single malt from La Maison Du Whisky's Version Francais series. Aromas of flaked almonds, iodine, sea salt and malt fill the nose and are echoed throughout the palate, alongside peppermint.
"Glenfarclas 8 Year Old
105' Proof Bot.1970s";None;None;[];[];FREE UK Mainl;
"Artesia 2018
Version Francaise";None;None;['64.95'];['92.79'];None;A fruity, malty 2018 Artesia French single malt from La Maison du Whisky's Version Français series, that has been matured in American oak casks. Aromas of pineapple, banana, green apples, summer flowers and wisps of smoke fill the nose, complemented by notes of lemon pie, vanilla, coconut, mint, mango and sweet malt throughout the palate.
"Armorik 2014
Version Francaise";None;None;['99.95'];['142.79'];None;A limited-edition 2014 Armorik French single malt from La Maison du Whisky's Version Français series. Matured in a second-fill oloroso sherry cask, it offers aromas of damp ash, caramelised bananas, rubber, garden herbs, pineapple and toasted hazelnuts fill the nose. The palate offers notes of dried seaweed, pears, green apples, orange and smoke that linger in the finish.
"Bowmore 1968
33 Year Old Rare Reserve Cask #1431 Signatory";None;None;[];['714.29'];FREE UK Mainl;
"Glenmorangie 1987
Bot.2006 Margaux Cask Finish";None;None;[];['133.33'];FREE UK Mainl;A snazzy bottling of 1987 vintage Glenmorangie with a fancy box and some time finishing in casks that previously held red wine from Margaux, a winegrowing region (and AOC) in Bordeaux, France. A must for collectors of Glenmorangie. MISSING PART OF THE BOX DRAWER.
"Bunnahabhain 1966
36 Year Old Peerless";None;None;[];['928.57'];FREE UK Mainl;
"Hector Macbeth 1997
24 Year Old First Editions";None;None;[];['182.86'];FREE UK Mainl;A 1997 Hector Macbeth blended malt from indie bottler Hunter Laing, matured in a single ex-bourbon barrel for 24 years, before being bottled in 2021 as part of its First Editions series. Aromas of vanilla, white chocolate, raspberries and freshly-baked pastries fill the nose, complemented by notes of brioche buns, red berries, vanilla, oak and caramel throughout the palate.
Mackmyra Brukswhisky DLX;None;None;[];[];FREE UK Mainl;A deluxe version of Mackmyra Brukswhisky, DLX has been matured in a combination of bourbon, sherry and virgin Swedish oak casks. Aromas of sweet vanilla, caramel, honey, chocolate, warm toast, oak and tobacco leaves fill the nose, alongside hints of white pepper, pears, raisins and citrus. The palate offers notes of buttery vanilla, juicy pears, oranges, mixed herbs, anise, pepper, peat and juniper throughout the palate.
"Allt-a-Bhainne 1996
22 Year Old Connoisseurs Choice";None;None;[];['204.29'];FREE UK Mainl;"A 22-year-old Allt-a-Bhainne from Gordon & MacPhail's Connoisseurs Choice collection. Distilled in 1996 and bottled on 6 September 2018 from a single refill American-oak hogshead. It's a fruity dram, with a background of spongecake, hay and a touch of nuttiness.

Tasting Notes (1)"
"Dalmore 1979
Sherry Finesse";None;None;[];['571.43'];FREE UK Mainl;
"Glenrothes 1996
21 Year Old Carn Mor";None;None;[];['257.14'];FREE UK Mainl;A 1996-vintage Glenrothes from Carn Mor, bottled as part of the Celebration of the Cask range. Distilled on 23 October 1996 and bottled from a single butt on 1 October 2018. It might be a from a butt, but sherry-cask character is controlled, letting Glenrothes fruit and spice out.
"St Magdalene 1964
18 Year Old Connoisseurs Choice";None;None;[];['133.33'];FREE UK Mainl;A bottle of 18-year-old St Magdalene single malt that was distilled at the fabled Lowland distillery in 1964, just under two decades before it was closed for good. This edition was bottled by Gordon & MacPhail for their Connoisseurs Choice series.
Zuidam Millstone American Oak;None;None;['43.95'];['62.79'];None;A robust Dutch single malt from Millstone that has been matured in American oak casks, creating layers of vanilla, cinnamon, cloves and coconut throughout the palate.
"Glenfiddich 50 Year Old
Leather Box";None;None;[];['142.86'];FREE UK Mainl;
"Dalmore 1965
35 Year Old Big Market";None;None;[];['642.86'];FREE UK Mainl;
"Glenfarclas 6 Year Old
John Grant Bot.1980s";None;None;[];['233.33'];FREE UK Mainl;
Armorik Sherry Cask Single Malt;None;['1'];['44.95'];['64.21'];None;"From Brittany's first whisky distillery, Warenghem, comes this sherry-aged single malt, which takes Armorik's fruity spirit and adds extra layers of sweet dried fruits and spices.


Warenghem released the first Breton single malt in 1998, calling it the Armorik to reflect the name that the Brittany region was given by its Roman occupiers."
Macallan 1851 Inspiration;None;None;[];['285.71'];FREE UK Mainl;
Girvan Patent Still 30 Year Old;None;['1'];[];['335.71'];Special Offer;In 2013, Grant's took the decision to introduce a range of Single Grain whiskies from their Girvan distillery in Ayrshire. The 30 year old was a hit at their masterclass at The Whisky Show that year and is rich with a spicy woodiness. This is the only bottling in the range to use a maize base, which was last used at Girvan in 1984.
"Springbank 1967
34 Year Old Old Malt Cask";None;None;[];['285.71'];FREE UK Mainl;
"Longmorn 1973
32 Year Old Sherry Cask Gordon & Macphail";None;None;[];['142.86'];FREE UK Mainl;"A 1973 Longmorn by Gordon & Macphail. This single sherry butt was mautured for over 30 years and bottled under their ""Cask Strength"" serie."
"North Port Brechin 1981
36 Year Old Signatory 30th Anniversary";None;None;[];['821.43'];FREE UK Mainl;Astonishing single malt from a long-gone Highland distillery, this bottle of North Brechin 36 Years Old – bottled as part of Signatory Vintage's 30th anniversary series – has spent its life in a refill sherry butt, collecting subtle oak influence without losing its soul to the wood. A sublime dram.
"Mosstowie 1973
45 Year Old Signatory 30th Anniversary";None;None;[];['135.71'];FREE UK Mainl;A brilliantly buoyant Speyside from Mosstowie – the second single malt produced at Miltonduff until the early 1980s. A veritable rollercoaster of full-bodied vitality: beautifully-balanced light and dark as spicy, mature oak vies with the fresh fruit and deep malt notes at the core of this wonderful spirit.
"Glencraig 1976
42 Year Old Signatory 30th Anniversary";None;None;[];['785.71'];FREE UK Mainl;Glencraig is particularly rare and an ideal candidate for Signatory Vintage's 30th Anniversary collection – a whisky made at Glenburgie distilled using Lomond stills. These hybrid stills, partway between a pot and a column, were only operation between 1958 and 1961, and the distillery's owners didn't release it for sale. This cask – a single bourbon barrel – is dense, with grassy and syrupy notes, as well as a core of sweet vanilla and fruit.
"Craigduff 1973
45 Year Old Signatory 30th Anniversary";None;None;[];['135.71'];FREE UK Mainl;Craigduff is a whisky with a complex history, most of which has been uncovered by Signatory Vintage, which has bottled this very special cask in honour of its 30th birthday. Originally thought to have been made at Strathisla, Craigduff more likely to have come from Glen Keith. It was an experimental peated spirit, bringing together peated malt and heavily peated water to try an produce a smoky spirit in Speyside. It's never been officially released by Chivas and Signatory have only had a few casks, including this fruity and honeyed dram.
"Boondocks 8 Year Old Bourbon
Port Cask Finish";None;['1'];['59.45'];['79.27'];None;A bold 8-year-old bourbon from highly-rated Boondocks, this is a flavourful whiskey lent an impressive depth of character by its finishing in port pipes. Think rich, smooth bourbon flavour run through with oaky vanilla, a whiff of smoke and ribbons of red fruit. Complex and satisfying, it’s fantastic on its own or in a bourbon cocktail.
Bernheim Original;None;['6'];['75.95'];['101.27'];None;"Bernheim Original is made by Heaven Hill and is the only straight wheat American whiskey available. A winner of the Gold 'Editor's Choice Award' from Whisky Magazine with a score of 17.75 out of 20 from Dave Broom & Michael Jackson, Bernheim is 51% winter wheat, 39% corn and 10% barley malt. A soft, mellow, fruity palate with gentle vanilla notes.

Tasting Notes (5)"
"Springbank 1972
25 Year Old Murray McDavid";None;None;[];[];FREE UK Mainl;
Mellow Corn;4;['21'];['33.45'];['47.79'];None;Mellow Corn is a high-proof gold-coloured American corn whisky. As a corn whiskey, the mashbill is a minimum of 81% corn, with the remainder being a combination of malted barley and rye. A light, sweet whiskey, perfect for summer evenings.
Clontarf Single Malt;4;['18'];['29.95'];['42.79'];None;"A charcoal-mellowed single malt from a mystery Irish distillery, this is a very popular dram due to its smoothness and light, mellow palate.

Tasting Notes (1)"
"Old Fettercairn 26 Year Old
Stillman's Dram";None;None;[];['464.29'];FREE UK Mainl;
"New Zealand 18 Year Old Double Wood Sample
TWE Exclusive";None;['4'];['11.75'];['39.17'];None;"A Perfect Measure sample of beautifully-complex blended whisky from closed distillery Willowbank in Dunedin, New Zealand – the world's southernmost distillery until its destruction in the late 1990s.


After an unconventional double maturation – a quartet of ex-bourbon barrels followed by a lengthy period in French oak New Zealand wine casks – this is a complex 18-year-old full of full-bodied, lingering dark fruit notes and woody spice. Exclusive to The Whisky Exchange."
"Glenury Royal 1970 Sample
40 Year Old";None;['1'];['99.95'];['333.17'];None;Try this Glenury Highland single malt, bottled as part of the 2012 Diageo Special Releases with our Perfect Measure sample. Closed in 1985 and since demolished, this distillery is much missed and its whisky is hard to come by, and this 40-year-old is no exception. Aged in refill casks this Highland single malt has a bold, bright character, and a maturity only found after four decades in oak.
"Laphroaig 1998
20 Year Old The Kinship";None;None;[];['785.71'];FREE UK Mainl;This limited-edition release of 1998 Laphroaig from The Kinship series was bottled by Hunter Laing for the 2018 Feis Ile to celebrate the completion of Ardnahoe distillery. Aged in two refill hogsheads and bottled at cask strength, this single malt has tobacco, citrus and peat smoke aromas. The palate opens with rolls of peat and liquorice, before developing into softer notes of pine needles, tobacco, sweet vanilla and lemon.
"Highland Park 1996
21 Year Old The Kinship";None;None;[];['464.29'];FREE UK Mainl;This limited-edition release of Highland Park from The Kinship series was bottled by Hunter Laing for the 2018 Feis Ile. Aged for 21 years and finished for six months in a sherry butt, this single malt has an elegant nose of ripe fruits and gentle floral notes of heather, alongside a salty, maritime edge. The palate opens with smoky peat and gentle fruits, including apricots and peaches, before a lingering, smoky finish with notes of sweet heather-honey.
"Spirit of Hven
Seven Stars No.6:2 Alcor";None;None;['89.95'];['179.90'];None;"The second half of Spirit of Hven's sixth instalment of its Seven Stars series - are you keeping up? Number six has been released as a pair as it pays tribute to the binary pair of stars Mizar and Alcor, which form a naked eye double in the handle of the Plough.


Like Mizar, some of this whisky has been aged in casks that formerly contained Chateau Margaux. This time, however, it is joined by whisky aged in oloroso sherry, Italian dessert wine and Spirit of Hven vodka barrels."
Bunnahabhain 1963;None;None;[];['857.14'];FREE UK Mainl;
Wolfburn Langskip;None;None;['61.95'];['88.50'];Summer Sale B;"A rich and spicy whisky from Wolfburn, matured entirely in first-fill bourbon casks. It's named after the Norse longships that once dominated the Caithness coastline near the distillery – the distillery wanted to create a whisky that is just as sleek, smooth and purposeful as they were, and Langskip is the result.

Tasting Notes (1)"
"Highland Park 12 Year Old
Bot.1990s";None;None;[];None;FREE UK Mainl;
"Glenmorangie 1972
Bot.1994 Cask #1645";None;None;[];['666.67'];FREE UK Mainl;A 1972 vintage release from popular highland distillery, Glenmorangie. This single cask was bottled in January 1994 making it 21 years old.
"Tullibardine 1964
Bot.2005 Cask #3358";None;None;[];['857.14'];FREE UK Mainl;
"Glen Grant 20 Year Old
Bot.1960s";None;None;[];['666.67'];FREE UK Mainl;
"Port Ellen 1982
21 Year Old Bot.2003 Giuseppe Gambi";None;None;[];['285.71'];FREE UK Mainl;selected by Giuseppe Gambi of Ristorante Gloria from Marina di Ravenna on the occasion of 10th Anniversary of Societa dei Mandibolari,Ravenna. One of only 36 bottles.
Tamnavulin-Glenlivet 22 Year Old;None;None;[];[];FREE UK Mainl;
"Highland Park 1978
20 Year Old La Reserve";None;None;[];['785.71'];FREE UK Mainl;
"Suntory Yamazaki 10 Year Old
Bot.2000s";None;None;[];['785.71'];FREE UK Mainl;"An introductory malt from Yamazaki, Japan's oldest distillery (founded in 1923). This is mild-mannered, clean, sweet malt, charming and very accessible - Speyside fans looking to try a Japanese malt should start here.

Tasting Notes (2)"
Nikka Yoichi 10 Year Old;None;['9'];[];['714.29'];FREE UK Mainl;"A ten year old, elegantly peaty single malt from Nikka's beautiful Yoichi distillery in Hokkaido, where whisky is made as it used to be in Scotland with small direct-fired stills and matured in the finest wood the company can find. Bottled at 45% for extra oomph. On the face of it, this is expensive for a ten year old whisky, but it's well worth the money in quality terms.

Tasting Notes (2)"
"Glendronach 12 Year Old
Sherry Cask Bot.1980s";None;None;[];[];FREE UK Mainl;
"Old Bannockburn (Deanston)
Bot.1970s";None;None;[];['265.33'];FREE UK Mainl;
"Dalmore 12 Year Old
Bot.1990s";None;None;[];['357.14'];FREE UK Mainl;
"Littlemill 40 Year Old
2018 Release";None;None;[];['857.14'];FREE UK Mainl;"An exquisitely-packaged edition of Littlemill – the oldest, in fact, ever released from this lost distillery. This 40-year-old Celestial Edition has been bottled in celebration of the distillery owner Duncan Thomas, whose life's work was the creation of Littlemill's subtly floral, vanilla-led whisky.


The elegant presentation box that houses the hand-faceted Glencairn crystal decanter, alongside a miniature of the whisky and a commemorative booklet, depicts the configuration of the stars on the evening that the whisky was distilled.

Tasting Notes (1)"
Compass Box The Story of the Spaniard Miniature;None;None;['6.25'];['12.50'];None;A miniature of a 2018 addition to the Compass Box core range, this is a blend of Highland and Speyside whiskies, significant portions of which have been aged in sherry casks and - most notably - Spanish red wine casks. Predictably, this is a delectable dram full of dark fruit and berry flavours with a heavy dose of rich, woody spice.
Poit Dhubh 8 Year Old;4;['3'];['37.95'];['54.21'];None;The 8 year old entry in the Gaelic Whisky Company's Poit Dhubh range of blended malt. Peaty and full bodied with a perfumed edge.
"Glenfarclas 8 Year Old
Bot.1980s G&M";None;None;[];['933.33'];FREE UK Mainl;
"Laphroaig 10 Year Old
Bot. Mid-1980s Litre";None;None;[];None;FREE UK Mainl;
Old Perth Original;None;['1'];['32.95'];['47.07'];None;Old Perth The Original is a blended malt whisky from Perth, made exclusively with whisky matured in ex-sherry casks from a selection of Scotland's finest distilleries.
Serendipity 12 Year Old;None;['6'];[];['342.86'];FREE UK Mainl;Born out of a happy accident when someone mistakenly poured some young Glen Moray into a vat of old Ardbeg, Serendipity is a lightly smoky blended malt. A rare find with a lovely story to tell.
"Laphroaig 28 Year Old
Bot.2018";None;None;[];['857.14'];FREE UK Mainl;The 2018 entry in Laphroaig's yearly limited edition series is one of the distillery's oldest releases yet – a 28-year-old whisky. It's a carefully selected mixture of casks, bringing together quarter casks, ex-bourbon barrels and oloroso sherry butts. It's picked up a reputation as being the best yet in the series, combining the distillery's medicinal smoke character with the fruitiness that many of its older bottles show.
"Glencadam 1989
28 Year Old Cask 7455";None;None;[];[];FREE UK Mainl;A single cask whisky from Glencadam, this 1989 single malt has spent 28 years in a single ex-sherry cask before being bottled in January 2018. This bottle comes in a wooden presentation box.
"Auchentoshan 1966
Bot.1980s";None;None;[];[];FREE UK Mainl;
Rampur Single Malt Signature Reserve;None;None;[];['285.71'];FREE UK Mainl;An elegant, fruity limited-edition Indian single malt from Rampur, matured in American oak barrels and finished in a Pedro Ximenez sherry cask, to celebrate 75 years of distilling at Rampur. Rich aromas of toffee, creamy vanilla, dark berries, dried fruit, cinnamon and forest honey fill the nose. The palate offers notes of sultanas, toffee, Christmas pudding and burnt caramel.
"Caperdonich 1972
Bot.2011 Sherry Cask Connoisseurs Choice";None;None;[];['214.29'];FREE UK Mainl;
"Glen Grant 1956
54 Year Old Sherry Cask Gordon & MacPhail";None;None;[];['857.14'];FREE UK Mainl;"This 54-year-old Glen Grant comes from Gordon & Macphail's immense reserves of whisky from a by-gone era.


This whisky comes from a single sherry cask distilled in 1956 and bottled in 2011"
"Bowmore Vatting - Distiller of the Year
8 Year Old Bot.1995";None;None;[];['284.29'];FREE UK Mainl;An 8 year old whisky bottled in 1995 to celebrate Morrison-Bowmore winning the first ever IWSC Best Distiller award. It's a vatting of whiskies from Bowmore, Auchentoshan and Glen Garioch.
Angels' Nectar Blended Malt 1st Edition;None;None;['35.25'];['50.36'];None;Founded by Robert Ransom (ex-Glenfarclas) this independent bottling from Highfern is a blend of Highland and Speyside malts. The name is in reference to the ‘Angel’s Share’, an attempt to retain all the liquid lost to the heavens.
"Deanston 1999
18 Year Old Valinch & Mallet";None;None;[];['185.71'];FREE UK Mainl;Distilled in 1999 and bottled in 2018, producing 303 bottles using a bourbon hogshead, this is an independent bottling by Valinch & Mallet from Deanston distillery in the Highlands. It is the largest distillery owned by the Distell Group who also own Bunnahabhain and Tobermory.
"Karuizawa 37 Year Old
Pearl Geisha";None;None;[];[];FREE UK Mainl;
"Karuizawa 38 Year Old
Pearl Geisha";None;None;[];['714.29'];FREE UK Mainl;"Bottled by Elixir Distillers, this 38-year-old Karuizawa single malt is currently the oldest whisky in the prestigious Geisha series.
 

One half of the exquisite Pearl Geisha duo, this was aged in sherry cask no. 4348 and filled into just 172 bottles at 62.1% ABV.


The Geisha series was created to pay homage to both the exquisite whiskies of the closed Karuizawa distillery, and the majesty of its surrounding culture. As with the rest of the series, the Pearl Geisha labels were designed by The Whisky Exchange’s creative director Raj Chavda, who is also a fellow of the Royal Society of Art."
"Glenfarclas 40 Year Old
Sherry Cask";None;None;[];['142.86'];FREE UK Mainl;
"Laphroaig 10 Year Old
Cask Strength";None;None;[];['857.14'];FREE UK Mainl;
Bourbon Deluxe 4 Year Old;None;None;['32.95'];['43.93'];None;A four-year-old straight bourbon produced by Jim Beam at their distillery in Clermont, Kentucky. This young bourbon is versatile and can either be drunk neat, as part of a long drink or in cocktails.
"Brora 1981
30 Year Old Sherry Cask Chieftain's";None;None;[];[];FREE UK Mainl;This very rare Brora 1981 was matured for 30 years in a single Sherry butt and bottled at cask strength exclusively for the American liquor store chain Binny's, in 2011.
"Irish Single Malt 1989
29 Year Old Daily Dram";None;None;[];[];FREE UK Mainl;This Irish single malt whiskey was made in 1989 at a mystery distillery and bottled 29 years later by Belgian bottler The Nectar for its Daily Drams series in 2018. A sweet, malty whiskey it has notes of caramel, cinnamon and citrus throughout the palate.
"Deanston 1999
19 Year Old Daily Dram";None;None;[];['207.14'];FREE UK Mainl;A 19-year-old Deanston single malt bottled by The Nectar for its Daily Drams series. This 1999-vintage – bottled in 2018 – is typical of Deanston, with a malt-forward character supported by dried fruit and spice.
"Knockando 1967
Bot.1980";None;None;[];['733.33'];FREE UK Mainl;
Poit Dhubh 8 Year Old Miniature;None;None;['5.75'];['11.50'];None;A mini bottle of Poit Dhubh 8 year old, Gaelic Whisky's blended malt. Medium sweet with a full body and long smoky finish.
Mossburn Island Blended Malt;None;None;['41.45'];['59.21'];None;Mossburn are cask experimenters, and this Island Blended Malt is a successful example of their excellent work. Initially blended from American oak barrels of whisky from the Scottish islands, the resulting whisky was then filled into ex-bourbon barrels with toasted, virgin European-oak cask heads (aka 'Mossburn Cask Bill #1'), adding an extra kick of spice.
Mossburn Speyside Blended Malt;4;['1'];['39.25'];['56.07'];None;An intriguing blended malt from Mossburn, bringing together a selection of whiskies across Speyside, blending them and then further maturing them in special 'Mossburn Cask Bill #2' casks. These are custom made Oloroso sherry butts fitted with heavily charred American oak heads, adding extra layers of American-oak vanilla and spice to the sherry-cask fruit.
"Glenlivet 1972
26 Year Old";None;None;[];['142.86'];FREE UK Mainl;
"Compass Box Flaming Heart
2018 Edition Magnum";None;None;[];['166.67'];FREE UK Mainl;A magnum bottle of Compass Box's latest Flaming Heart release – a grassy and herbaceous dram with heaps of spicy oak influence and a powerfully thick, smoky core. Far from a one-trick pony, this is a warm, multidimensional and luxurious dram.
"Glen Grant 1972
30 Year Old Peerless";None;None;[];['333.33'];FREE UK Mainl;
"Old Fitzgerald Around We Go Ceramic
6 Year Old Bot.1970s";None;None;[];[];FREE UK Mainl;
Amrut Madeira Finish;None;None;[];['185.71'];FREE UK Mainl;A rich and multifaceted whisky aged primarily in ex-bourbon casks before a fairly lengthy finish in ex-Madeira casks sourced from family cooperages in Spain and Portugal. The finish has imbued Amrut's full-bodied spirit with sweet notes of honey and ripe, jammy orange rounded out by some oak-and-grapefruit bitterness and a touch of spice. A fantastic whisky bottled at a punchy 50% ABV.
Stauning Curious Peated Rye White Spirit;4;['1'];['45.95'];['91.90'];None;A peated white dog spirit from Danish distillers Stauning. Part of their Research Series – where Stauning experiment with new flavours and ideas – this is a tasty spirit, mezcal-like in its smokiness, created by peating their standard rye mashbill of 30% malted barley and 70% ground rye.
"Very Old Fitzgerald 1948
8 Year Old Bot.1956";None;None;[];['623.51'];FREE UK Mainl;
"Laphroaig 10 Year Old
Cask Strength";None;None;[];['066.67'];FREE UK Mainl;
"Highland Park 19 Year Old
Bot.1970s";None;None;[];[];FREE UK Mainl;A 19-year-old Highland Park single malt, bottled during the 1970s in the distillery's historic dumpy bottle.
Macallan 1851 Inspiration;None;None;[];['285.71'];FREE UK Mainl;
Amrut Peated Cask Strength;None;['2'];['80.25'];['114.64'];None;"From Amrut distillery, founded in 1948, just one year after Indian independence, this is a stormingly hot and spicy whisky, peated and bottled at a punchy cask strength of 62.8%.

Tasting Notes (2)"
"Glen Grant 1951
62 Year Old Sherry Cask Gordon & MacPhail";None;None;[];['571.43'];FREE UK Mainl;This Glen Grant is a marriage of two sherry butts distilled in 1951 and bottled in November 2013 by Gordon & Macphail with the traditional old distillery label.
"Glen Grant 1948
65 Year Old Sherry Cask Gordon & MacPhail";None;None;[];[];FREE UK Mainl;This 1948 vintage Glen Grant single malt was bottled in 2014 by Gordon & MacPhail for its Rare Vintages series after maturing for 65 years.
Gordon & MacPhail Strathisla Collection;None;None;[];['380.95'];FREE UK Mainl;An incredible set of whiskies from veteran indie bottler Gordon & MacPhail. Over more than a century, G&M have built up a selection of some of the world's finest whiskies, and this Strathisla collection demonstrates how deep their warehouses go. Six bottles distilled at Strathisla across three decades, and aged for between 41 and 59 years: 1954 bottled in 2013, 1957 bottled in 2013, 1960 bottled in 2014, 1963 bottled in 2011, 1964 bottled in 2013 and 1972 bottled in 2013. An incredible selection that showcases how well Strathisla ages.
"Suntory Yamazaki Puncheon
Bot.2011";None;None;[];['142.86'];FREE UK Mainl;A special edition Yamazaki from Suntory, aged in a 480-litre puncheon cask, which allows the whisky to mature much more slowly than the standard 230-litre hogshead. There's no age statement, but at 48% and unchillfiltered, it's likely to be pretty tasty.
"Aberlour-Glenlivet Centenary
Bot.1979";None;None;[];[];FREE UK Mainl;Released in 1979
"Springbank 15 Year Old
New Born Da Mhile";None;None;[];['642.86'];FREE UK Mainl;Bottled to celebrate the birth of Da Mhile owner John’s first grandchild, this 15-year-old whisky was matured in a first-fill sherry cask. A wonderfully rich and nutty example of Campbeltown whisky.
"Springbank 1992
Da Mhile";None;None;[];['427.14'];FREE UK Mainl;A pure example of Springbank whisky. Distilled in 1992 and bottled at around seven years of age, this has been bottled without chill filtration or colouring and was produced using traditional floor-malted barley. It’s also certified organic.
"Tullibardine 1993
25 Year Old Xtra Old Particular";None;None;[];['421.43'];FREE UK Mainl;"An exceptional Tullibardine for the sweet-toothed whisky fan, this dram is a cornucopia of sweet biscuit, rich chocolate, caramel and candied fruit. Delightful dessert notes are curbed and rounded out by fresh-cut wood, earthy notes and a nutty freshness, making this a perfect post-meal whisky to be savoured in good company.

Tasting Notes (1)"
"Highland Park 1958
17 Year Old";None;None;[];[];FREE UK Mainl;A Highland Park single malt distilled in 1958 and matured for 17 years, before being bottled in 1975 in the distillery's historic dumpy bottle.
"Highland Park 1976
25 Year Old First Cask";None;None;[];['714.29'];FREE UK Mainl;
Amrut Cask Strength;None;['5'];['66.95'];['95.64'];None;Continuing the run of impressive cask strength bottlings, this edition from Amrut clocks in at a pokey 61.8% and promises their usual balance of spice and fruit.
Wemyss Malts Spice King 12 Year Old;None;None;['42.45'];['60.64'];None;"A spicy dram from the folks at Wemyss Malts, Spice King is a blended malt whisky with an emphasis on 12 year old island malt.

Tasting Notes (1)"
"Highland Park 1986
Bot.2005 Cask 2498 For Beltramo's";None;None;[];[];FREE UK Mainl;
"Auchentoshan 1966
31 Year Old";None;None;[];[];FREE UK Mainl;
Wemyss Malts Peat Chimney 8 Year Old;None;None;['5.75'];['11.50'];None;"A mini bottle of Wemyss Malts' 8 year old blended malt whisky, heavy on the Islay malt and full of smoky goodness. Wemyss name their whiskies after the dominant flavours, a novel idea.

Tasting Notes (1)"
"Glenburgie 21 Year Old
Bot.2018 G&M Distillery Labels";4;['1'];[];['154.29'];FREE UK Mainl;"A long-aged dram from lesser-known Glenburgie, a big distillery with spirit that normally disappears into the Chivas Brothers blends. It's an important component and this release shows why: floral, fruity and complex, it's a pity we don't see more of it bottled as a single malt, especially after two decades of layering on complexity and flavour. Fortunately, Gordon & MacPhail have our backs.

Tasting Notes (1)"
"Glen Grant 1984
12 Year Old Sherry Cask Signatory";None;None;[];[];FREE UK Mainl;
"King Car Conductor
Kavalan";None;['4'];['77.45'];['110.64'];None;A limited edition whisky from King Car's Kavalan distillery in Taiwan, part of their range which also includes the orchestrally inspired Solist series. The whisky was selected to show off the range of flavour that the distillery can produce and reflect the multi-armed nature of their parent company.
"Ardbeg 1975
29 Year Old Old & Rare Platinum";None;None;[];['285.71'];FREE UK Mainl;A 1975 vintage Ardbeg from independent bottlers Douglas Laing as part of their Platinum Selection series. Produced in the first year of Ardbeg importing large amounts of malted barley from the mainland, this is a slightly less peatier Ardbeg than one is used to.
