product_name;product_rating;product_reviews;auction_price;original_price;offer_type;product_description
Forest Whisky 8 Year Old Blended Malt;None;None;['54.95'];['78.50'];None;This is a blended malt, made up of whiskies over 8 years old which have been finished in Oloroso casks. The blend changes slightly every time but it has a core of toffee and Caramac candies, a hint of spice with sweet fruit behind. The palate is juicy and full of ripe fruit with caramel on the finish.
Glenrothes Whisky Maker's Cut;4;['5'];['55.95'];['79.93'];Summer Sale B;"A rich non-age-statement whisky matured entirely in first-fill sherry casks, with notes of orange, vanilla, nutmeg and oak. It is part of The Soleo Collection: a range of five whiskies from Glenrothes, ranging from 10 to 25 years old, which pay homage to the grapes from which some sherries, such as Pedro Ximénez, are made. The red label on this bottle reflects the colour of the grape just before it begins to ripen.

Tasting Notes (1)"
Hebridean Whisky Liqueur Miniature;None;None;['3.75'];['7.50'];None;A miniature bottle of Hebridean Whisky Liqueur, made with Scotch whisky, caramel and a blend of spices to a recipe discovered in an old Hebridean cookery book.
Hebridean Whisky Liqueur;None;['1'];['18.75'];['37.50'];None;A bottle of Hebridean Whisky Liqueur, made with Scotch whisky, caramel and a blend of spices to a recipe discovered in an old Hebridean cookery book.
Masthouse Whisky 2017;None;None;['43.95'];['87.90'];None;"The 2017 vintage of Masthouse English whisky from Kent's Copper Rivet Distillery, matured in a combination of casks. The palate offers notes of green apples, ginger biscuits, tropical fruits, toasted oak, chocolate orange and white pepper on the palate.
 

Please note


We cannot guarantee the specific barrel numbers or date of release of these bottles."
Glasshouse Whisky;None;['1'];['27.95'];['39.93'];None;A bright and fruity whisky, created for cocktails, Glasshouse blended whisky offers notes of red apples, summer berries and caramel throughout the palate.
Malt Whisky Yearbook 2020;None;None;['14.95'];None;None;The arrival of autumn heralds the arrival of Malt Whisky Yearbook. A useful reference guide, written by a collection of experts, it covers distilleries, independent bottlers, useful sites and much, much more. The perfect guide to the changes to the world of whisky in the past 12 months.
"The Whiskies of Scotland Jigsaw
500 Pieces";None;None;['17.95'];None;None;"An excellent-quality, 500-piece puzzle detailing Scotland's whisky regions, their landmarks, their lochs and, most importantly, their distilleries. Puzzle your way from the Lowlands to Speyside and beyond; mark your own journey into whisky as you go or simply enjoy a ramble past the homes of your favourite drams."
"Teeling Whiskey
Trinity Miniature Pack 3 x 5cl";None;None;['21.95'];['14.63'];None;Teeling have been on the rise since the company's foundation in 2012. This gift set is a great way to try the range – it contains a mini each of the Single Grain, Single Malt and Small Batch blend.
"English Whisky Co. Peated
TWE Exclusive";None;['1'];['64.95'];['92.79'];None;"A peated whisky from The English Whisky Company, distilled at St George's Distillery in Norfolk and specially selected by the team here at The Whisky Exchange. It's a powerful and smoky dram, showing that Scotland doesn't have a monopoly on peat.

Tasting Notes (1)"
"Drambuie Whisky Liqueur
Bot.1980s";None;['1'];[];['220.59'];FREE UK Mainl;"A 1980s bottling of Drambuie Whisky Liqueur. First launched in 1910, it was just 6 years later that it became the first liqueur to be allowed into the cellars of the House of Lords. Derived from a Scots Gaelic phrase, the name Drambuie means ""the drink that satisfies""."
Scotch Whisky;None;None;['6.99'];None;Bin End Offer;Charles Maclean's 'Scotch Whisky' is erudite, informative and entertaining - just like the man himself! Essential reading for new initiates to the wonders of whisky, and a great reference work for aficionados.
"Drambuie Whisky Liqueur
Bot.1970s";None;None;[];['330.88'];FREE UK Mainl;
"Suntory Whisky Excellence
Bot.1980s";None;None;[];['666.67'];FREE UK Mainl;A great bottle of Suntory Excellence from the 1980s. This was imported to Italy and the gold paper labe on the neck states that this whisky is aged for at least 30 years.
Thy Whisky No.12 Kornmod Sample;None;None;['13.95'];['46.50'];None;A Perfect Measure sample bottle of the first release of Kornmod from Thy, made with a combination of Langelandsbyg barley that has been revived from dormancy from the Nordic Gene Bank and the modern Evergreen barley. Matured in a combination of ex-bourbon and ex-oloroso sherry casks, it offers fresh acidity, notes of liquorice, raisins, apricots, vanilla, honey and oak spice.
Helsinki Whiskey Rye Malt;4;['1'];['7.25'];['24.17'];None;A Perfect Measure sample bottle of release 15 of rye whisky from Helsinki Distilling Company is a combination of three virgin American oak barrels that were hand-selected by master distiller Mikko Mykkänen. Aromas of vanilla, toffee, malted rye, dark chocolate and toasted rye bread fill the nose. The palate offers notes of dried apricots, liquorice, caramel, vanilla, coffee and cocoa that linger in the finish.
"World Whisky Blend
That Boutique-y Whisky Company";None;None;['29.95'];['42.79'];None;A blend of whiskies from around the world, created by That Boutique-y Whisky Company, this blend includes whisky from Scotland, Canada, Ireland, Sweden, USA, Switzerland, Netherlands, Taiwan, India, Italy, Germany, France, Japan and Finland.
Helsinki Whiskey Rye Malt;4;['1'];['51.45'];['102.90'];None;Release 15 of rye whisky from Helsinki Distilling Company is a combination of three virgin American oak barrels that were hand-selected by master distiller Mikko Mykkänen. Aromas of vanilla, toffee, malted rye, dark chocolate and toasted rye bread fill the nose. The palate offers notes of dried apricots, liquorice, caramel, vanilla, coffee and cocoa that linger in the finish.
"English Whisky 2007
11 Year Old Sauternes Cask North Star";None;None;['87.95'];['125.64'];None;A 2007 vintage English Whisky from indie bottler North Star Spirits, matured in a single Sauternes barrel for 11 years, before being bottled in June 2020.
"World Whisky
2016 Edition";None;None;['17.99'];None;None;The 2016 edition of a great coffee table whisky book, edited by Charles Maclean and featuring contributions from a Who's Who of the international whisky gliterati: Gavin D. Smith, Dave Broom, Hans Offringa, Peter Mulryan et al.
Malt Whisky Yearbook 2019;None;None;['13.95'];None;None;You know it's officially autumn when the Malt Whisky Yearbook arrives. This useful reference guide is written by a plethora of experts and covers distilleries, independent bottlers, useful sites and much, much more. A great guide to the world of whisky and in particular the developments of the past 12 months.
English Whisky Co. HRH Prince Louis of Cambridge Whisky;None;None;['75.95'];['108.50'];None;"A specially produced, limited-edition commemorative release, celebrating the birth of HRH Prince Louis Arthur Charles of Cambridge, son of Prince William and Kate Middleton. The English Whisky Co love a royal occasion and choose great whiskies to celebrate – this is packed with sweet vanilla and banana notes.

Tasting Notes (1)"
Malt Whisky Yearbook 2018;None;None;['13.95'];None;None;You know it's officially autumn when the Malt Whisky Yearbook arrives. This useful reference guide is written by a plethora of experts and covers distilleries, independent bottlers, useful sites and much, much more. A great guide to the world of whisky and in particular the developments of the past 12 months.
"Isfjord Whisky #2
Peated";None;['2'];['72.95'];['145.90'];None;#2 is the lightly peated release from Denmark's Isfjord. Matured in bourbon barrels, finished in new oak, this is fruity and gently smoky with notes of caramel, chocolate and vanilla.
"Isfjord Whisky #1
Sherry Casks";None;['1'];['72.95'];['145.90'];None;Isfjord whisky is distilled in Denmark, #1 is the unpeated expression, aged in oloroso-sherry casks – rich and complex with notes of dried fruit, vanilla and chocolate.
Malt Whisky Companion 7th Edition;None;None;['16.99'];None;None;The seventh edition of this classic whisky tome is the second update since the passing of its author, Michael Jackson, in 2008. For this edition the text has been updated and additional tasting notes supplied by Dominic Roskrow and Gavin D. Smith.
"Henebery Whiskey
Infused With Spices";None;['1'];['67.75'];['90.33'];None;Henebery is 90-proof rye whiskey infused with spices. The result is a spirit with notes of rye spice with citrus and floral notes.
"Bar Whisky Set
Decanter 160cl + 4x25cl Tumblers LSA";None;None;['89.25'];None;None;This beautiful set from LSA contains a sleek decanter that will hold up to 1.6 litres and four 25cl tumblers.
"Drambuie Whisky Liqueur
Bot.1960s";None;None;[];['333.33'];FREE UK Mainl;
"Drambuie Whisky Liqueur
Bot.1970s";None;['1'];[];[];FREE UK Mainl;"A 1970s bottling of Drambuie Whisky Liqueur. First launched in 1910, it was just 6 years later that it became the first liqueur to be allowed into the cellars of the House of Lords. Derived from a Scots Gaelic phrase, the name Drambuie means ""the drink that satisfies""."
"Drambuie Whisky Liqueur
Bot.1940s";None;None;[];['661.76'];FREE UK Mainl;"An old bottling of Drambuie from back in the 1940s, the days when it proudly mentioned its Isle of Skye heritage and had a more noticeable dose of Talisker in its makeup.


Please note


This bottle is missing its red capsule.


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure."
Malt Whisky Yearbook 2016;None;None;['13.95'];None;None;Ingvar Ronde's invaluable Malt Whisky Yearbook has had a revamp for the 2016 edition. It may have a different look, but the content is as useful as ever, with features from top industry names such as Ian Buxton, Charles Maclean and Martine Nouet. Always one of the must-read whisky books of the year.
"Dewar's Whisky Mirror
80cm X 80cm";None;None;[];None;FREE UK Mainl;
"Dewar's Whisky Samovar Decanter
Early 20th Century";None;None;[];None;FREE UK Mainl;"Please note


This product has some chips on the bottom and lid."
"Drambuie Whisky Liqueur
Bot.1980s Litre";None;None;[];None;FREE UK Mainl;An old litre bottle of Drambuie's famed whisky liqueur from the 1980s , the days when it was more influenced by its Talisker component.
"Drambuie Whisky Liqueur
Bot.1960s";None;None;[];['367.65'];FREE UK Mainl;A bottle of Drambuie's famed whisky liqueur from the 1960s, the days when it was more influenced by its Talisker component. This is presented in the unusual bottle size of 68cl.
Malt Whisky Yearbook 2014;None;None;['8.95'];None;Bin End Offer;The 2014 edition of the excellent Malt Whisky Yearbook, edited by Swedish whisky writer Ingvar Ronde. Included once again are features from many well respected whisky writers, lists of the world's best whisky shops and websites and many new colour photographs.
"Drambuie Whisky Liqueur
Bot.1980s Litre";None;None;[];None;FREE UK Mainl;An old litre bottling of Drambuie. The whisky, honey, herbs and spice liqueur has been made since the late 19th century. We estimate this bottle dates from the 1980s.
Malt Whisky Yearbook 2013;None;None;['13.95'];None;None;The 2013 edition of Ingvar Ronde's excellent yearly updated guide to the world of whisky, and we're not just saying that because he likes our blog. Packed full of distillery information from around the world as well as new articles on the state of the industry.
"Drambuie Whisky Liqueur
Bot.1970s";4;['1'];[];['330.88'];FREE UK Mainl;An old bottling of Drambuie from back in the 1970s, the days when it proudly mentioned its Isle of Skye heritage and had a more noticeable dose of Talisker in its makeup.
Malt Whisky Yearbook 2012;None;None;['13.95'];None;None;A hugely informative labour of love by Swedish publisher and whisky nut Ingvar Ronde, the 2012 Malt Whisky Yearbook is, remarkably the seventh edition, and is bigger and better than ever. With comprehensive distillery profiles, in-depth articles from some great writers and bang up to date info on the latest events in the whisky world, the Malt Whisky Yearbook is an annual institution. A uniquely pleasurable read, as always.
Malt Whisky Yearbook 2010;None;None;['12.95'];None;None;The 2010 edition of Ingvar Ronde's essential whisky companion is the fifth in the series, begging the question - how did we do without it before? New features this year include interviews with distillery managers and a series of in-depth articles on the distillation process.
Malt Whisky Yearbook 2009;None;None;['8.95'];None;Bin End Offer;The latest edition of this great, great book. Ingvar Ronde's Malt Whisky Yearbook is utterly essential reading for devoted drammers.
"The Whisky Distilleries of the UK
2008 Reprint";None;None;[];None;None;A handsome recent reprint of Alfred Barnard's seminal 19th century tome about his famous distillery tour.
Perfect Measure Whisky Glass in Gift Box;None;['1'];['6.95'];None;None;"Designed by Whisky Exchange director Sukhinder Singh in collaboration with Glencairn Crystal, the Perfect Measure glass has taken years to perfect. Already a firm favourite with whisky experts – including award-winning writer Dave Broom, who uses it when writing his tasting notes – and a mainstay at our own tastings, it's the glass that gets the most from a spirit.


With a sturdy stem to give it weight, a wide bowl to allow flavours to develop and a tapered mouth to concentrate the aroma before you take a sip, it's designed to be the perfect glass to properly appreciate every spirit, especially whisky."
Suntory Chita Whisky;None;['38'];['49.95'];['71.36'];None;Chita is Suntory's grain distillery. The flagship release is aged in a combination of wine, sherry and bourbon casks. This is a light whisky with subtle notes of mint, honey and wood spice.
Nomad Outland Whisky;None;['20'];['29.95'];['42.79'];None;Nomad is a unique whisky. A collaboration between sherry producer González Byass and Whyte & Mackay master blender Richard Paterson. A blended Scotch whisky aged for more than five years in sherry butts is shipped to Jerez for further year's ageing in PX casks.
Enso Japanese Whisky;None;None;['55.95'];['79.93'];None;A delicate Japanese blended whisky from Kiyokawa, in Kanagawa Prefecture, Enso has been distilled using pot stills and matured in American oak casks. Aromas of lemon blossom, orange zest, vanilla, caramel and soft smoke fills the nose, complemented by notes of toasted oak, crunchy apples, cinnamon, woody vanilla and honeysuckle on the palate. Enjoy this whisky neat or as part of your favourite cocktail.
"Peated Islay Whisky Tasting Set
6x3cl";None;None;['43.95'];['24.42'];None;"Islay whiskies are a beguiling mix of smoke, fruit and untamed coastal character, with each of its distilleries offering something different. This gift set is the perfect introduction to Islay, and shows off the characterful, diverse drams of this enchanting island.


Included are: Caol Ila 2008, Bowmore 15 Year Old, Kilchoman Machir Bay, Lagavulin 8 Year Old, Laphroaig Quarter Cask and Port Charlotte 10 Year Old."
Akashi Blended Whisky;None;['19'];['32.95'];['65.90'];None;A lesser-known whisky outside the local Japanese market, this version of Akashi is specially produced for the European market using a mixture of Japanese and foreign-made malt and grain whisky to produce a reasonably priced everyday blend.
"Exploring Sherried Whisky Tasting Set
6x3cl";None;None;['54.95'];['30.53'];None;"When it comes to casks used to mature whisky, the most sought-after once held sherry. Packed with rich, fruity flavour, they are the source of many of the world’s greatest whiskies. This selection contains some of the best sherried whiskies on the market today.


This set contains a 3cl each of: Edradour 12 Year Old | Glendronach Revival 15 Year Old | Royal Lochnagar Selected Reserve | Glen Garioch 15 Year Old Sherry Cask | Tamdhu 15 Year Old | Bowmore 15 Year Old."
